Participant,Gender,Age,SpanL1,LangSpoken,Lang_0.5,Lang_6.12,Lang_13.18,Eng_classes,Eng_classes_time,Eng_classes_amount,Caregivers_speak_Eng,Eng_travel,Eng_country,Word,word_lemma,AssociateNumber,Orig_Response,Response,Response_lemma,Response_Class,Relation_Type,Confidence,Comments,List,word_ID,translation,Block
sp138,Female,32,Yes,"English, Spanish",Spanish,"English, Spanish","English,Spanish",Yes,Primary through high school,12,No,No,,agua,agua,2,De Jamaica ,jamaica,jamaica,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp139,Female,26,Yes,English and Spanish,Spanish,Spanish,English and Spanish,No,,,Yes,Yes,Live in the United States,agua,agua,2,Bebida,bebida,bebida,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp140,Female,21,Yes,English and Spanish,Spanish,Spanish and english,Spanish and english,Yes,Middle school through College,8 years,No,No,,agua,agua,2,Lago,lago,lago,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp141,Female,26,Yes,English and Spanish,Spanish and English,"English primarily, but also Spanish","English primarily, but also Spanish",Yes,All throughout school,13 years,Yes,Yes,"USA, I live here",agua,agua,2,mar,mar,mar,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp142,Female,26,Yes,"Spanish, English","Spanish, English","Spanish, English","Spanish, English",No,,,Yes,Yes,US,agua,agua,2,limpia ,limpio,limpio,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp143,Female,26,Yes,Spanish and English,spanish,spanish and english,spanish and english,Yes,elementary,2 years,No,Yes,Canada 3 months,agua,agua,2,rio,rio,riio,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp144,Male,18,Yes,English and spanish,English and Spanish,English,English,Yes,Every year,12 years,Yes,Yes,United States for most of my life,agua,agua,2,liquido,liquido,liiquido,unclear,NA,NA,NA,A,r2_sp_a1,water,Span
sp145,Female,32,Yes,English and Spanish ,Spanish ,Spanish and english,Spanish and English ,Yes,High school,6- but it was more like English writing not ESOL classes ,Yes,No,,agua,agua,2,Rio,rio,riio,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp146,Female,20,Yes,Spanish and English ,Spanish,Spanish and English,Spanish and English,Yes,high school,4 years,No,No,,agua,agua,2,oceano,oceano,oceeano,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp147,Female,21,Yes,"English, some spanish","spanish, english",english,english,Yes,"high school, middle school, college",9 years,Yes,No,,agua,agua,2,playa,playa,playa,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp148,Female,18,Yes,English and Spanish,spanish ,spanish,spanish,Yes,"middle school, high school",8 years (all throughout school),No,Yes,Canada - 3 days,agua,agua,2,saludable ,saludable,saludable,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp149,Male,26,Yes,"english, spanish",spanish,"english, spanish","english, spanish",Yes,im from the US...all my school was in english,18 years,No,No,,agua,agua,2,ducha,ducha,ducha,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp101,Male,19,Yes,"Primarily spanish at home, English everywhere else. ",Spanish and English,Spanish and English,Spanish and English,Yes,All schoolwork,13,Yes,Yes,"United States, I live here. ",agua,agua,3,fria,frio,frio,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp102,Female,23,Yes,english and spanish ,both ,both,both ,No,,,Yes,Yes,america ,agua,agua,3,botella ,botella,botella,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp103,Female,24,Yes,Spanish English ,Spanish,Spanish,Spanish ,Yes,"Elementary school, high school",Unsure,No,No,,agua,agua,3,Fria ,frio,frio,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp104,Male,27,Yes,english and spanish,Spanish and English,Spanish and English,Spanish and English,Yes,All my life,12,No,No,,agua,agua,3,ielo,hielo,hielo,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp105,Male,25,Yes,"spanish, english","spanish, english","spanish, english","spanish, english",Yes,elementary school,3 years,Yes,Yes,I live in the USA... ,agua,agua,3,river,river,river,noun,NA,NA,Eng,A,r2_sp_a1,water,Span
sp106,Female,25,Yes,"Spanish, English","Spanish, English","Spanish, English","Spanish, English",No,,,Yes,No,,agua,agua,3,piscina,piscina,piscina,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp107,Male,27,Yes,English and Spanish,spanish,spanish,English and Spanish,No,,,Yes,No,,agua,agua,3,mojado,mojado,mojado,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp108,Female,31,Yes,English and Spanish,"Spanish, English","Spanish, English","Spanish, English",No,,,Yes,Yes,United States - I live there,agua,agua,3,Jugo,jugo,jugo,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp109,Female,21,Yes,"English, Spanish","Spanish, English","Spanish, English","Spanish, English",No,,,No,Yes,n/a,agua,agua,3,oceano,oceano,oceeano,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp110,Female,27,Yes,Spanish and English,2,2,2,No,,,Yes,No,,agua,agua,3,fria,frio,frio,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp111,Female,34,Yes,"Spanish, English",Spanish,Spanish,Spanish,Yes,High school,4,Yes,Yes,USA. 4 years,agua,agua,3,Bebe,beber,beber,verb,NA,NA,NA,A,r2_sp_a1,water,Span
sp112,Female,19,Yes,english and spanish,2,2,2,No,,,Yes,Yes,I live in an English speaking country,agua,agua,3,fresca,fresco,fresco,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp113,Female,24,Yes,spanish and english,spanish,spanish and english,both,No,,,No,No,,agua,agua,3,fria,frio,frio,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp114,Female,21,Yes,"spanish, english, french ",spanish,"english, spanish","spanish, english, french",Yes,elementary school,12,Yes,Yes,United States,agua,agua,3,clara,claro,claro,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp115,Male,25,Yes,English and Spanish,English and Spanish,English and Spanish,English and Spanish,Yes,"Elementary, middle school, high school, college",12,No,No,,agua,agua,3,lluvia,lluvia,lluvia,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp116,Male,20,Yes,"English, Spanish",1,1,1,Yes,Elementary ,1,Yes,Yes,"United States, I live here now",agua,agua,3,rica,rico,rico,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp117,Female,19,Yes,"Spanish, english","Spanish, english","Spanish, english","Spanish, english",Yes,"Elementary, middle and high school",10 years,Yes,Yes,USA,agua,agua,3,piscina,piscina,piscina,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp118,Female,21,Yes,english,spanish,english,english,No,,,Yes,No,,agua,agua,3,soda,soda,soda,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp119,Male,21,Yes,"English, spanish, french",Spanish,Spanish,Spanish,Yes,Middle school,7 years,No,Yes,The US and Canada ,agua,agua,3,Tibia,tibio,tibio,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp120,Female,19,Yes,Spanish + English ,Spanish,"Spanish, English ","Spanish, English ",No,,,Yes,Yes,USA whole life,agua,agua,3,Fresca,fresco,fresco,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp121,Female,26,Yes,Spanish and English,Spanish,Spanish,Spanish,No,,,Yes,No,,agua,agua,3,bebida,bebida,bebida,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp122,Male,31,Yes,"English, Spanish","Spanish, English","Spanish, English","Spanish, English",No,,,Yes,No,,agua,agua,3,Bañar,banar,bannar,verb,NA,NA,NA,A,r2_sp_a1,water,Span
sp123,Female,26,Yes,"spanish, english",spanish,spanish/english,spanish/english,Yes,"elementary, middle/high school, college, university",20 yrs,Yes,Yes,"united states, 26 years",agua,agua,3,mar,mar,mar,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp124,Female,21,Yes,"english, spanish ",spanish,spanish,spanish & english,Yes,high school and college,11 years,No,No,,agua,agua,3,botella,botella,botella,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp125,Male,20,Yes,"English, spanish","English, spanish","English, spanish","English, spanish",Yes,high school,the required amount for graduation,Yes,Yes,"United States, i live there now",agua,agua,3,playa,playa,playa,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp126,Male,22,Yes,English and Spanish,Spanish,English,English,Yes,school,18 years,Yes,Yes,I was born in the USA,agua,agua,3,humedo,humedo,huumedo,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp127,Female,32,Yes,"English, Spanish, French","Spanish, English","English, Spanish","English, Spanish, French",No,,,Yes,Yes,United States; I have lived here since I was 2 so 30 years,agua,agua,3,vaso,vaso,vaso,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp129,Female,22,Yes,"Spanish, English", Spanish,Spanish,Spanish,No,,,No,No,,agua,agua,3,bebida,bebida,bebida,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp130,Female,33,Yes,"english, Spanish, French ",Spanish,"Spanish, english","Spanish, english",Yes,all through school,12,Yes,Yes,US,agua,agua,3,refrescante,refrescante,refrescante,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp131,Female,23,Yes,english and spanish,spanish and english,spanish and english,spanish and english,Yes,high school,4 years,Yes,No,,agua,agua,3,lago,lago,lago,noun,NA,NA,NA,A,r2_sp_a1,water,Span
