"","source","target","weight"
"914","ensalada","cuchillo",1
"915","ensalada","dieta",1
"916","ensalada","familia",1
"917","ensalada","fresa",1
"918","ensalada","fruta",1
"919","ensalada","fuerte",1
"920","ensalada","jardiin",1
"921","ensalada","lechuga",19
"922","ensalada","manzana",1
"923","ensalada","pepino",3
"924","ensalada","pimienta",1
"925","ensalada","pollo",1
"926","ensalada","restaurante",2
"927","ensalada","salsa",1
"928","ensalada","salud",5
"929","ensalada","saludable",3
"930","ensalada","sano",4
"931","ensalada","tomate",7
"932","ensalada","vegetal",4
"933","ensalada","verano",1
"934","ensalada","verde",5
"935","ensalada","verdura",3
"936","ensalada","zanahoria",6
"937","entrenador","amigo",1
"938","entrenador","ayudar",1
"939","entrenador","baasquetbol",1
"940","entrenador","beeisbol",1
"941","entrenador","bol",1
"942","entrenador","boleta",1
"943","entrenador","cabeza",1
"944","entrenador","casa",1
"945","entrenador","correr",2
"946","entrenador","deporte",11
"947","entrenador","dieta",1
"948","entrenador","domador",1
"949","entrenador","ejercicio",7
"950","entrenador","entrada",1
"951","entrenador","entrenar",1
"952","entrenador","equipo",4
"953","entrenador","estirar",1
"954","entrenador","fiisica",1
"955","entrenador","fuerte",2
"956","entrenador","fuutbol",7
"957","entrenador","ganar",1
"958","entrenador","gimnasia",1
"959","entrenador","gimnasio",5
"960","entrenador","gimnasta",1
"961","entrenador","golf",1
"962","entrenador","hacer",1
"963","entrenador","juego",4
"964","entrenador","jugador",5
"965","entrenador","jugar",4
"966","entrenador","levantar",2
"967","entrenador","libro",1
"968","entrenador","necesitar",1
"969","entrenador","partido",4
"970","entrenador","personal",1
"971","entrenador","pesa",6
"972","entrenador","practicar",1
"973","entrenador","preparador",2
"974","entrenador","salud",2
"975","entrenador","trabajador",1
"976","entrenador","trabajo",2
"977","espejo","amable",1
"978","espejo","autorretrato",1
"979","espejo","banno",6
"980","espejo","bonito",3
"981","espejo","cabello",1
"982","espejo","cara",4
"983","espejo","casa",3
"984","espejo","cepillo",1
"985","espejo","claro",2
"986","espejo","conjunto",1
"987","espejo","cuadro",1
"988","espejo","cuarto",2
"989","espejo","diente",1
"990","espejo","dormitorio",1
"991","espejo","escalera",1
"992","espejo","esquii",1
"993","espejo","grande",1
"994","espejo","habitacioon",3
"995","espejo","hola",1
"996","espejo","huevo",1
"997","espejo","inodoro",1
"998","espejo","limpiar",1
"999","espejo","limpio",2
"1000","espejo","luz",1
"1001","espejo","madre",1
"1002","espejo","maquillaje",5
"1003","espejo","maquillar",2
"1004","espejo","marco",1
"1005","espejo","me",1
"1006","espejo","mirar",8
"1007","espejo","muro",1
"1008","espejo","ninna",1
"1009","espejo","nuevo",1
"1010","espejo","ojo",1
"1011","espejo","pared",1
"1012","espejo","pelo",2
"1013","espejo","persona",5
"1014","espejo","personaje",1
"1015","espejo","plata",1
"1016","espejo","reflexion",1
"1017","espejo","reflexioon",6
"1018","espejo","ropa",3
"1019","espejo","tamanno",1
"1020","espejo","te",1
"1021","espejo","ver",1
"1022","espejo","vestir",1
"1023","espejo","vidrio",2
"1024","espejo","yo",2
"1025","falda","agua",1
"1026","falda","alto",1
"1027","falda","azul",1
"1028","falda","bonito",5
"1029","falda","bufanda",1
"1030","falda","caalido",1
"1031","falda","cabeza",1
"1032","falda","camisa",6
"1033","falda","camiseta",3
"1034","falda","cartera",1
"1035","falda","cena",1
"1036","falda","chica",3
"1037","falda","cita",1
